trip_id,arrival_time,departure_time,stop_id,stop_sequence                                                                                             
1050J17100C3a,07:06:00,07:06:00,10206,06                                                                                                              
1050J17100C3a,07:11:00,07:11:00,10205,07                                                                                                              
1050J17100C3a,07:18:00,07:18:00,10204,08                                                                                                              
1050J17100C10,07:23:00,07:23:00,10203,09                                                                                                              
1050J17100C10,07:33:00,07:33:00,10202,10                                                                                                              
1050J17100C10,07:35:00,07:35:00,10201,11                                                                                                              
1050J17100C10,07:39:00,07:39:00,10200,12                                                                                                              
1050J17100C10,07:53:00,07:53:00,10100,13                                                                                                              
1050J17100C10,07:56:00,07:56:00,10005,14                                                                                                              
1050J17100C10,08:04:00,08:04:00,10002,15                                                                                                              
1050J17100C10,08:06:00,08:06:00,10001,16                                                                                                              
1050J17100C10,08:13:00,08:13:00,10000,17                                                                                                              
1050J17102C3a,13:46:00,13:46:00,10206,05                                                                                                              
1050J17102C3a,13:51:00,13:51:00,10205,06                                                                                                              
1050J17102C3a,13:58:00,13:58:00,10204,07                                                                                                              
1050J17102C3a,14:03:00,14:03:00,10203,08                                                                                                              
1050J17102C3a,14:18:00,14:18:00,10202,09                                                                                                              
1050J17102C3a,14:20:00,14:20:00,10201,10                                                                                                              
1050J17102C3a,14:24:00,14:24:00,10200,11                                                                                                              
1050J17102C3a,14:29:00,14:29:00,10104,12                                                                                                              
1050J17102C3a,14:33:00,14:33:00,10103,13                                                                                                              
1050J17102C3a,14:37:00,14:37:00,10101,14                                                                                                              
1050J17102C3a,14:41:00,14:41:00,10100,15                                                                                                              
1050J17102C3a,14:55:00,14:55:00,97100,16                                                                                                              
1050J17102C3a,14:58:00,14:58:00,97200,17                                                                                                              
1050J17102C3a,15:01:00,15:01:00,97201,18                                                                                                              
1050J17102C2,15:05:00,15:05:00,17000,19                                                                                                               
1050J17102C2,15:12:00,15:12:00,18002,20                                                                                                               
1050J17102C2,15:16:00,15:16:00,18001,21                                                                                                               
1050J17102C2,15:20:00,15:20:00,18000,22                                                                                                               
1050J17102C2,15:26:00,15:26:00,70002,23                                                                                                               
1050J17102C2,15:28:00,15:28:00,70003,24                                                                                                               
1050J17102C2,15:31:00,15:31:00,70001,25                                                                                                               
1050J17102C2,15:32:00,15:32:00,70109,26                                                                                                               
1050J17102C2,15:36:00,15:36:00,70100,27                                                                                                               
1050J17102C2,15:41:00,15:41:00,70108,28                                                                                                               
1050J17102C2,15:44:00,15:44:00,70101,29                                                                                                               
1050J17102C2,15:49:00,15:49:00,70102,30                                                                                                               
1050J17102C2,15:53:00,15:53:00,70112,31                                                                                                               
1050J17102C2,15:58:00,15:58:00,70111,32                                                                                                               
1050J17102C2,16:02:00,16:02:00,70103,33                                                                                                               
1050J17102C2,16:06:00,16:06:00,70107,34                                                                                                               
1050J17102C2,16:10:00,16:10:00,70104,35                                                                                                               
1050J17102C2,16:14:00,16:14:00,70105,36                                                                                                               
1050J17102C2,16:24:00,16:24:00,70200,37                                                                                                               
1050J17104C3a,15:36:00,15:36:00,10206,06                                                                                                              
1050J17104C3a,15:41:00,15:41:00,10205,07                                                                                                              
1050J17104C3a,15:48:00,15:48:00,10204,08                                                                                                              
1050J17104C3a,15:53:00,15:53:00,10203,09                                                                                                              
1050J17104C3a,16:06:00,16:06:00,10202,10                                                                                                              
1050J17104C3a,16:08:00,16:08:00,10201,11                                                                                                              
1050J17104C3a,16:12:00,16:12:00,10200,12                                                                                                              
1050J17104C3a,16:17:00,16:17:00,10104,13                                                                                                              
1050J17104C3a,16:21:00,16:21:00,10103,14                                                                                                              
1050J17104C3a,16:25:00,16:25:00,10101,15                                                                                                              
1050J17104C3a,16:29:00,16:29:00,10100,16                                                                                                              
1050J17104C3a,16:43:00,16:43:00,97100,17                                                                                                              
1050J17104C3a,16:46:00,16:46:00,97200,18                                                                                                              
1050J17104C3a,16:49:00,16:49:00,97201,19                                                                                                              
1050J17104C3a,16:53:00,16:53:00,17000,20                                                                                                              
1050J17120C8,08:27:00,08:27:00,12006,10                                                                                                               
1050J17120C8,08:37:00,08:37:00,12005,11                                                                                                               
1050J17120C8,08:42:00,08:42:00,12004,12                                                                                                               
