service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
1050J,0,0,0,1,0,0,0,20230302,20230302                                                                                                                 
1051V,0,0,0,0,1,0,0,20230303,20230303                                                                                                                 
1052S,0,0,0,0,0,1,0,20230304,20230304                                                                                                                 
1053D,0,0,0,0,0,0,1,20230305,20230305                                                                                                                 
1054L,1,0,0,0,0,0,0,20230306,20230306                                                                                                                 
1055M,0,1,0,0,0,0,0,20230307,20230307                                                                                                                 
1056X,0,0,1,0,0,0,0,20230308,20230308                                                                                                                 
1057J,0,0,0,1,0,0,0,20230309,20230309                                                                                                                 
1058V,0,0,0,0,1,0,0,20230310,20230310                                                                                                                 
1059S,0,0,0,0,0,1,0,20230311,20230311                                                                                                                 
1060D,0,0,0,0,0,0,1,20230312,20230312                                                                                                                 
1061L,1,0,0,0,0,0,0,20230313,20230313                                                                                                                 
1062M,0,1,0,0,0,0,0,20230314,20230314                                                                                                                 
1063X,0,0,1,0,0,0,0,20230315,20230315                                                                                                                 
1064J,0,0,0,1,0,0,0,20230316,20230316                                                                                                                 
1065V,0,0,0,0,1,0,0,20230317,20230317                                                                                                                 
1066S,0,0,0,0,0,1,0,20230318,20230318                                                                                                                 
1067D,0,0,0,0,0,0,1,20230319,20230319                                                                                                                 
1068L,1,0,0,0,0,0,0,20230320,20230320                                                                                                                 
1069M,0,1,0,0,0,0,0,20230321,20230321                                                                                                                 
1070X,0,0,1,0,0,0,0,20230322,20230322                                                                                                                 
1071J,0,0,0,1,0,0,0,20230323,20230323                                                                                                                 
1072V,0,0,0,0,1,0,0,20230324,20230324                                                                                                                 
1073S,0,0,0,0,0,1,0,20230325,20230325                                                                                                                 
1074D,0,0,0,0,0,0,1,20230326,20230326                                                                                                                 
1075L,1,0,0,0,0,0,0,20230327,20230327                                                                                                                 
1076M,0,1,0,0,0,0,0,20230328,20230328                                                                                                                 
1077X,0,0,1,0,0,0,0,20230329,20230329                                                                                                                 
1078J,0,0,0,1,0,0,0,20230330,20230330                                                                                                                 
1079V,0,0,0,0,1,0,0,20230331,20230331                                                                                                                 
1080S,0,0,0,0,0,1,0,20230401,20230401                                                                                                                 
2050J,0,0,0,1,0,0,0,20230302,20230302                                                                                                                 
2051V,0,0,0,0,1,0,0,20230303,20230303                                                                                                                 
2052S,0,0,0,0,0,1,0,20230304,20230304                                                                                                                 
2053D,0,0,0,0,0,0,1,20230305,20230305                                                                                                                 
2054L,1,0,0,0,0,0,0,20230306,20230306                                                                                                                 
2055M,0,1,0,0,0,0,0,20230307,20230307                                                                                                                 
2056X,0,0,1,0,0,0,0,20230308,20230308                                                                                                                 
2057J,0,0,0,1,0,0,0,20230309,20230309                                                                                                                 
2058V,0,0,0,0,1,0,0,20230310,20230310                                                                                                                 
2059S,0,0,0,0,0,1,0,20230311,20230311                                                                                                                 
